winner_faction;loser_faction;winner;loser;wins;losses;title;file
Knalgan Alliance;Northerners;Bonobo;Haldiel;ladder vs Haldiel;download-replay.php?reported_on=2013-01-01+00%3A59%3A11.xml
Drakes;Knalgan Alliance;Cackfiend;Bonobo;ladder game;download-replay.php?reported_on=2013-01-01+07%3A20%3A09.xml
Northerners;Rebels;Cackfiend;Bonobo;ladder vs Cackfiend;download-replay.php?reported_on=2013-01-01+07%3A46%3A58.xml
Rebels;Drakes;Cackfiend;Bonobo;ladder Bonobo vs Cackfiend;download-replay.php?reported_on=2013-01-01+10%3A09%3A14.xml
Loyalists;Loyalists;khorne-flakes;Xplorer;Ladder revenge - Khorne (the darkman) vs Xplorer;download-replay.php?reported_on=2013-01-01+17%3A59%3A47.xml
Undead;Northerners;Spelp;Kral2;LADDER;download-replay.php?reported_on=2013-01-02+09%3A40%3A03.xml
Northerners;Rebels;Castoridae;Spelp;LADDER vs Spelp;download-replay.php?reported_on=2013-01-02+13%3A03%3A35.xml
Loyalists;Knalgan Alliance;GaretJax;Cackfiend;ladder;download-replay.php?reported_on=2013-01-03+06%3A09%3A23.xml
Rebels;Drakes;Bonobo;plk2;ladder game;download-replay.php?reported_on=2013-01-05+12%3A44%3A41.xml
Drakes;Loyalists;Cackfiend;Kral2;Ladder;download-replay.php?reported_on=2013-01-06+09%3A58%3A40.xml
Rebels;Knalgan Alliance;Bonobo;Kra1;ladder;download-replay.php?reported_on=2013-01-06+11%3A50%3A18.xml
Loyalists;Northerners;GaretJax;Kral;ladder;download-replay.php?reported_on=2013-01-07+18%3A27%3A50.xml
Undead;Drakes;GaretJax;Kral;LADDER for Kral;download-replay.php?reported_on=2013-01-07+18%3A50%3A10.xml
Undead;Northerners;Cackfiend;khorne-flakes;Ladder;download-replay.php?reported_on=2013-01-08+18%3A33%3A32.xml
Northerners;Drakes;Haldiel;GaretJax;ladder;download-replay.php?reported_on=2013-01-09+00%3A49%3A00.xml
Loyalists;Drakes;GaretJax;Haldiel;ladder for haldiel;download-replay.php?reported_on=2013-01-09+01%3A11%3A50.xml
Loyalists;Drakes;Bonobo;GaretJax;ladder for bonobo;download-replay.php?reported_on=2013-01-09+07%3A18%3A13.xml
Rebels;Undead;Xplorer;GaretJax;ladder;download-replay.php?reported_on=2013-01-09+17%3A41%3A06.xml
Knalgan Alliance;Loyalists;GaretJax;Spelp;LADDER vs Spelp;download-replay.php?reported_on=2013-01-09+18%3A55%3A52.xml
Knalgan Alliance;Northerners;Glouk;GaretJax;Ladder game - GaretJax vs Glouk;download-replay.php?reported_on=2013-01-10+21%3A20%3A33.xml
Rebels;Knalgan Alliance;Cackfiend;GaretJax;Ladder;download-replay.php?reported_on=2013-01-11+03%3A29%3A05.xml
Drakes;Rebels;Spelp;Cackfiend;Ladder;download-replay.php?reported_on=2013-01-11+07%3A48%3A34.xml
Drakes;Rebels;Spelp;Bonobo;LADDER vs Spelp;download-replay.php?reported_on=2013-01-11+10%3A35%3A29.xml
Drakes;Rebels;Spelp;Oook;LADDER vs Spelp;download-replay.php?reported_on=2013-01-11+13%3A24%3A50.xml
Knalgan Alliance;Northerners;The_Black_Sword;Zorro;Ladder;download-replay.php?reported_on=2013-01-11+20%3A21%3A55.xml
Rebels;Northerners;The_Black_Sword;Castoridae;ladder;download-replay.php?reported_on=2013-01-11+20%3A50%3A23.xml
Loyalists;Undead;Haldiel;Glouk;Ladder game;download-replay.php?reported_on=2013-01-13+03%3A40%3A26.xml
Drakes;Knalgan Alliance;Spelp;Semler;LADDER vs Spelp;download-replay.php?reported_on=2013-01-13+09%3A54%3A45.xml
Loyalists;Rebels;Glouk;Fanjo;Ladder game;download-replay.php?reported_on=2013-01-13+16%3A58%3A53.xml
Loyalists;Rebels;Cackfiend;semler;Ladder Cackfiend vs Semler;download-replay.php?reported_on=2013-01-14+10%3A07%3A28.xml
Drakes;Knalgan Alliance;Haldiel;GaretJax;ladder for Haldiel;download-replay.php?reported_on=2013-01-15+02%3A00%3A39.xml
Northerners;Loyalists;GaretJax;Haldiel;ladder for Haldiel;download-replay.php?reported_on=2013-01-15+03%3A52%3A50.xml
Drakes;Knalgan Alliance;Fanjo;Spelp;LADDER vs Spelp;download-replay.php?reported_on=2013-01-15+13%3A28%3A20.xml
Loyalists;Rebels;Xplorer;Spelp;LADDER vs Spelp;download-replay.php?reported_on=2013-01-15+15%3A41%3A16.xml
Drakes;Undead;GaretJax;Bonobo;ladder for Bonobo;download-replay.php?reported_on=2013-01-16+01%3A00%3A04.xml
Knalgan Alliance;Drakes;Bonobo;GaretJax;ladder for Bonobo;download-replay.php?reported_on=2013-01-16+02%3A38%3A00.xml
Knalgan Alliance;Rebels;Bonobo;GaretJax;ladder for Bonobo;download-replay.php?reported_on=2013-01-16+02%3A41%3A40.xml
Drakes;Rebels;Bonobo;GaretJax;ladder for Bonobo;download-replay.php?reported_on=2013-01-16+02%3A42%3A15.xml
Knalgan Alliance;Northerners;GaretJax;Bonobo;ladder for Bonobo;download-replay.php?reported_on=2013-01-16+03%3A44%3A06.xml
Loyalists;Rebels;Cackfiend;Haldiel;Ladder Cackfiend vs Haldiel;download-replay.php?reported_on=2013-01-16+03%3A53%3A37.xml
